strategy,timing,aum,observations,first_signal_date,last_valuation_date,median_trade_pct_adv,p95_trade_pct_adv,max_trade_pct_adv,pct_trades_gt_1pct_adv,pct_trades_gt_5pct_adv,pct_trades_gt_10pct_adv,estimated_cost_bps,annualized_turnover,diagnostic_sharpe,diagnostic_cagr,constant_10bps_sharpe,capacity_flag
momentum_3m_equal,next_session_open,1000000.0,51,2021-08-31,2025-12-01,1.7332313451777988e-05,0.00022151641645062154,0.000316891398693306,0.0,0.0,0.0,4.88824320776675,5.101879716764747,1.0645477738114626,0.2101372062105804,1.0683386867049127,within_largest_tested_limit_not_execution_assurance
momentum_3m_equal,next_session_open,10000000.0,51,2021-08-31,2025-12-01,0.00017332313451777986,0.0022151641645062154,0.0031689139869330598,0.0,0.0,0.0,6.476903185600637,5.101879716764747,1.0545157288178573,0.20784664433556044,1.0683386867049127,within_largest_tested_limit_not_execution_assurance
momentum_3m_equal,next_session_open,50000000.0,51,2021-08-31,2025-12-01,0.0008666156725888994,0.011075820822531076,0.0158445699346653,0.08146067415730338,0.0,0.0,9.348753822613125,5.101879716764747,1.0363954856205417,0.2037157568244048,1.0683386867049127,within_largest_tested_limit_not_execution_assurance
momentum_3m_equal,next_session_open,100000000.0,51,2021-08-31,2025-12-01,0.001733231345177799,0.022151641645062153,0.0316891398693306,0.28651685393258425,0.0,0.0,11.50068714310834,5.101879716764747,1.0228303580450762,0.20062866003678814,1.0683386867049127,within_largest_tested_limit_not_execution_assurance
momentum_3m_equal,same_close_diagnostic,100000.0,51,2021-08-31,2025-11-28,1.7139550813849466e-06,2.2150235464611056e-05,3.1689139869330596e-05,0.0,0.0,0.0,4.379226341469253,5.094315557929152,1.0726384884001656,0.2114715827418967,1.0732518486586022,within_largest_tested_limit_not_execution_assurance
momentum_3m_equal,same_close_diagnostic,1000000.0,51,2021-08-31,2025-11-28,1.7139550813849467e-05,0.00022150235464611054,0.000316891398693306,0.0,0.0,0.0,4.880880363715967,5.094315557929152,1.069470786646591,0.2107475898772706,1.0732518486586022,within_largest_tested_limit_not_execution_assurance
momentum_3m_equal,same_close_diagnostic,10000000.0,51,2021-08-31,2025-11-28,0.00017139550813849468,0.0022150235464611055,0.0031689139869330598,0.0,0.0,0.0,6.467249671400361,5.094315557929152,1.0594570435268842,0.20846066037473432,1.0732518486586022,within_largest_tested_limit_not_execution_assurance
momentum_3m_equal,same_close_diagnostic,50000000.0,51,2021-08-31,2025-11-28,0.0008569775406924733,0.011075117732305528,0.0158445699346653,0.08146067415730338,0.0,0.0,9.33495942073405,5.094315557929152,1.0413683145139303,0.20433630244870038,1.0732518486586022,within_largest_tested_limit_not_execution_assurance
momentum_3m_equal,same_close_diagnostic,100000000.0,51,2021-08-31,2025-11-28,0.0017139550813849466,0.022150235464611055,0.0316891398693306,0.28651685393258425,0.0,0.0,11.4837898938675,5.094315557929152,1.0278254819637793,0.20125406751521635,1.0732518486586022,within_largest_tested_limit_not_execution_assurance
momentum_max_sharpe,next_session_open,100000.0,51,2021-08-31,2025-12-01,3.791382636709018e-06,3.726867847930706e-05,5.969698277818352e-05,0.0,0.0,0.0,5.577018952171726,6.34489537604459,1.087107029800758,0.2378943927891386,1.0885405371465517,within_largest_tested_limit_not_execution_assurance
momentum_max_sharpe,next_session_open,1000000.0,51,2021-08-31,2025-12-01,3.791382636709018e-05,0.00037268678479307065,0.0005969698277818352,0.0,0.0,0.0,6.415215842248114,6.34489537604459,1.0824365082451366,0.23666559785923402,1.0885405371465517,within_largest_tested_limit_not_execution_assurance
momentum_max_sharpe,next_session_open,10000000.0,51,2021-08-31,2025-12-01,0.0003791382636709018,0.003726867847930706,0.0059696982778183515,0.0,0.0,0.0,9.065827142559293,6.34489537604459,1.0676665131756669,0.23278690656995304,1.0885405371465517,within_largest_tested_limit_not_execution_assurance
momentum_max_sharpe,next_session_open,50000000.0,51,2021-08-31,2025-12-01,0.0018956913183545091,0.018634339239653533,0.02984849138909176,0.20875420875420875,0.0,0.0,13.857387235644914,6.34489537604459,1.0409653565343038,0.22580263042253135,1.0885405371465517,within_largest_tested_limit_not_execution_assurance
momentum_max_sharpe,next_session_open,100000000.0,51,2021-08-31,2025-12-01,0.0037913826367090182,0.037268678479307066,0.05969698277818352,0.3569023569023569,0.016835016835016835,0.0,17.447796043323187,6.34489537604459,1.020957589906375,0.2205921451494708,1.0885405371465517,within_largest_tested_limit_not_execution_assurance
momentum_max_sharpe,same_close_diagnostic,100000.0,51,2021-08-31,2025-11-28,3.798736531518417e-06,3.723786541473082e-05,5.969698277818352e-05,0.0,0.0,0.0,5.570294914384306,6.337233324765531,1.0780464646760635,0.2354478313151518,1.0794656384309045,within_largest_tested_limit_not_execution_assurance
momentum_max_sharpe,same_close_diagnostic,1000000.0,51,2021-08-31,2025-11-28,3.7987365315184164e-05,0.00037237865414730824,0.0005969698277818352,0.0,0.0,0.0,6.407758803026638,6.337233324765531,1.0734043742770167,0.23422342247275063,1.0794656384309045,within_largest_tested_limit_not_execution_assurance
momentum_max_sharpe,same_close_diagnostic,10000000.0,51,2021-08-31,2025-11-28,0.00037987365315184167,0.003723786541473082,0.0059696982778183515,0.0,0.0,0.0,9.056052149278035,6.337233324765531,1.0587229565536065,0.23035856515467712,1.0794656384309045,within_largest_tested_limit_not_execution_assurance
