strategy,date,signal_date,observations,assets,covariance_condition_number,minimum_eigenvalue,maximum_eigenvalue,covariance_rank,average_pairwise_correlation,maximum_pairwise_correlation,minimum_pairwise_correlation,minimum_expected_return,maximum_expected_return,expected_return_dispersion,optimization_status,objective_result,fallback_indicator
momentum_max_sharpe,2017-08-31,2017-07-31,251,5,65.1710210448987,0.0040252145405576005,0.26232734153291143,5.0,0.29220860183596786,0.7945193964713695,0.05057506751048217,0.2830288177396769,1.8930265350373054,0.6950106103645992,optimized,,False
momentum_max_sharpe,2017-09-29,2017-08-31,251,5,14.999220098286505,0.017928502483646795,0.2689135547848945,5.0,0.1791567735750631,0.3376804481025271,0.034388500146471185,0.2226143106305274,1.7064188766812816,0.6068505857007772,optimized,,False
momentum_max_sharpe,2017-10-31,2017-09-29,251,5,21.20880675690243,0.012961503971078914,0.2748980330014361,5.0,0.14303577482592336,0.48070484930207386,-0.039694709387625635,0.18860250749650254,1.6313677717037018,0.5834847200005452,optimized,,False
momentum_max_sharpe,2017-11-30,2017-10-31,251,5,31.45705689181349,0.008750639478510553,0.2752693639152539,5.0,0.28417175185785987,0.5971030675058007,-0.014520428037617905,0.4264902975328515,2.0223926311274805,0.6807047171015127,optimized,,False
momentum_max_sharpe,2017-12-29,2017-11-30,251,5,11.626884276299638,0.015535107935959504,0.18062490219122498,5.0,0.09800242702635997,0.27485083930509113,-0.02792820831166396,0.41600045346706405,1.3067256170642878,0.36667936356306396,optimized,,False
momentum_max_sharpe,2018-01-31,2017-12-29,251,5,5.326713374714294,0.01036553319370149,0.05521422429893473,5.0,0.15096670727288292,0.6210942549995191,-0.030662734164378966,0.22470497626406383,0.5623273681703378,0.12406654922245502,optimized,,False
momentum_max_sharpe,2018-02-28,2018-01-31,251,5,4.313886296605049,0.014796290746279847,0.06382951589096066,5.0,0.15070928026210137,0.4047931430666304,-0.01303313890351998,0.268595124282909,0.9096249316041065,0.24469908875286286,optimized,,False
momentum_max_sharpe,2018-03-29,2018-02-28,251,5,27.013951849858266,0.007563723600017111,0.2043260651364989,5.0,0.432210211157347,0.7059324987575982,0.1784941979082476,0.47646732407616654,1.3700779256879971,0.3495710159528674,optimized,,False
momentum_max_sharpe,2018-04-30,2018-03-29,251,5,78.188546337319,0.003095889079222846,0.2420630667260149,5.0,0.6009103126346722,0.8948181274765131,0.416667785197657,0.3548189386431442,1.1301811017679277,0.30591214698558267,optimized,,False
momentum_max_sharpe,2018-05-31,2018-04-30,251,5,33.85951259801991,0.0034573418970880255,0.11706391152011415,5.0,0.39303721195501323,0.8933537801739285,0.11463300400400035,0.16763669538544956,0.6549402875601618,0.20547341530738322,optimized,,False
