strategy,cost_bps,start_date,end_date,observations,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_active_return,tracking_error,information_ratio,beta,annual_alpha,average_turnover,total_transaction_cost,benchmark_sharpe
momentum_min_vol,0,2018-09-28,2025-12-31,88,0.20901776433502417,0.18043634349001772,1.1469528191725196,2.338658478977364,-0.14322923511448504,1.4593233299609083,0.0750734991307772,0.13029937009896664,0.5761616427904173,0.7718902012715441,0.10515627122681373,0.5366766558461357,0.0,0.7791320078308716
momentum_min_vol,5,2018-09-28,2025-12-31,88,0.20517422276379227,0.18049911064039928,1.1287142201928442,2.2901400377204033,-0.14439045987840737,1.4209679984160415,0.07185343919570042,0.1302790146328434,0.5515350219542275,0.7723781421653615,0.10187186239139656,0.5366766558461357,0.023613772857229966,0.7791320078308716
momentum_min_vol,10,2018-09-28,2025-12-31,88,0.20134167250911017,0.18056282964799242,1.1104824473996198,2.2420785631740388,-0.1455504842335229,1.3833115950756663,0.06863337926062359,0.1302600056725361,0.5268952577290896,0.772866083059179,0.09858745355597928,0.5366766558461357,0.04722754571445993,0.7791320078308716
momentum_min_vol,25,2018-09-28,2025-12-31,88,0.18990968988518375,0.18075968767277364,1.055830952292685,2.1005977858367886,-0.14911184308945868,1.2736056771241748,0.05897319945539315,0.13021106351476794,0.4529046754057475,0.7743299057406322,0.08873422704972758,0.5366766558461357,0.11806886428614982,0.7791320078308716
momentum_min_vol,50,2018-09-28,2025-12-31,88,0.17107361015832212,0.18110672485513643,0.9649082530539318,1.8735428785686392,-0.15555231853706275,1.0997818082509723,0.042872899780009084,0.1301564702186979,0.3293950712398014,0.7767696102097204,0.07231218287264132,0.5366766558461357,0.23613772857229964,0.7791320078308716
momentum_min_vol,100,2018-09-28,2025-12-31,88,0.1342036573964276,0.18187132644317025,0.7838001565907304,1.45064757176149,-0.16890754902122695,0.794539132052422,0.01067230042924095,0.13014856699223304,0.08200090616347583,0.7816490191478969,0.03946809451846893,0.5366766558461357,0.4722754571445993,0.7791320078308716
ml,0,2018-09-28,2025-12-31,88,0.31849383340725756,0.2298598156516758,1.3256636657817187,2.83658232144988,-0.19701307127910994,1.616612701580825,0.17283833211643088,0.13226924822869682,1.3067159179553895,1.116759002343153,0.15744033309478028,0.662810695230205,0.0,0.7791320078308716
ml,5,2018-09-28,2025-12-31,88,0.3133665024850627,0.22987387353742372,1.308282394312064,2.78571473011387,-0.19781803047075885,1.5841149653513715,0.16886146794504964,0.13230928643642165,1.276263159549215,1.1166869193390367,0.15347297511996283,0.662810695230205,0.029163670590129018,0.7791320078308716
ml,10,2018-09-28,2025-12-31,88,0.3082573020577686,0.2298884349223671,1.2909004212855009,2.7352963714953127,-0.19862249554466727,1.5519757780328869,0.1648846037736684,0.13235018859043746,1.2458206937952305,1.1166148363349204,0.14950561714514532,0.662810695230205,0.058327341180258035,0.7791320078308716
ml,25,2018-09-28,2025-12-31,88,0.293037906449386,0.2299351390992603,1.2387514413481866,2.586696008532042,-0.2010329275017284,1.4576612403302267,0.1529540112595247,0.13247807064350386,1.1545609814255313,1.116398587322572,0.13760354322069282,0.662810695230205,0.1458183529506451,0.7791320078308716
ml,50,2018-09-28,2025-12-31,88,0.26802949349035377,0.23002303980414832,1.1518331569936937,2.3476836074848024,-0.20695038243368957,1.2951389136777023,0.13306969040261854,0.13270840848580995,1.0027223739695983,1.1160381723019912,0.11776675334660523,0.662810695230205,0.2916367059012902,0.7791320078308716
ml,100,2018-09-28,2025-12-31,88,0.2193268944426494,0.23023651330304332,0.9780356693844594,1.9006669195648214,-0.235415963542973,0.9316568474873766,0.09330104868880623,0.1332331736714689,0.7002839166683164,1.1153173422608296,0.07809317359843017,0.662810695230205,0.5832734118025804,0.7791320078308716
