,momentum_3m_equal,momentum_12_1_equal,momentum_max_sharpe,momentum_min_vol,ml,benchmark
2020-10-30,-0.04604258771058211,-0.05227769293524399,-0.048155333043498484,-0.01367375648239151,-0.05044261581243516,-0.027665786221379718
2020-11-30,0.16262349150182867,0.1459728414464694,0.24248215124424385,0.0955866120611872,0.22104729325558017,0.10754563544385909
2020-12-31,0.05550106971038299,0.0798093060426941,0.07549460171079125,-0.014073588617918036,0.0811645376404299,0.03712145909357001
2021-01-29,0.04808337492416478,0.028227732039656075,0.044825417494063935,0.021298104619349178,0.02922406262822789,-0.011136660755445171
2021-02-26,0.09373715970307349,-0.03155358084731319,-0.008960754101689441,0.10897803973898523,0.01423415226179778,0.026091451377448394
2021-03-31,0.023358324750917304,-0.00329030708881555,0.00981299322597708,0.02195208248999803,0.08637973242450767,0.042438632533165155
2021-04-30,0.04511836709467087,0.0836395464002891,0.08034554027876002,0.07973483922448615,0.0559658896880433,0.05242532134755851
2021-05-28,0.00781856070586959,-0.0035569947065519207,0.004860674722718686,-0.005217178830583686,-0.02064135492785459,0.00548648867060697
2021-06-30,0.0606527397914944,0.08015489979811125,0.06003207184536917,0.0009349797115697037,0.05695758819499441,0.022214009565834747
2021-07-30,0.013075752494666627,0.018871602317937754,-0.00045094398280969136,0.009383028119947205,0.03688717024625656,0.02274805482838871
2021-08-31,0.07684607986688585,0.061383769599956776,0.08234323991249172,0.06401580689349966,0.060636523803740086,0.028990416255438634
2021-09-30,-0.05968584354133373,0.0010930119830990846,-0.04997561845028323,-0.047643621424773235,-0.04718350174453561,-0.047569168801901096
2021-10-29,0.171617381430417,0.18364589167919673,0.08783914591625597,0.10133849777083118,0.0824162100972079,0.0691438364006065
2021-11-30,0.07937803054656724,0.02788704398100576,0.03289175166311456,0.037471478982117744,0.03644281247842341,-0.008333706184746159
2021-12-31,-0.009072748641266443,-0.02342071712346373,-0.004280415047388153,0.042553838639499596,0.02953385336540213,0.04361291346206486
2022-01-31,-0.08726970326198398,-0.044493723873134904,-0.09112774702716119,-0.05239660462268256,-0.0020914449290947074,-0.052585165027393854
2022-02-28,0.021415706618330217,-0.022211867539199282,0.04342834402324062,0.04414819795579756,-0.013993560339008407,-0.031360491945908286
2022-03-31,0.054826002980400135,0.05803297694947224,0.07408194863610618,0.05625797006445322,0.0700702803883137,0.03577328837154625
2022-04-29,-0.004698825815806545,-0.09785640885064006,-0.03824240002059687,0.0003765211387387254,-0.1323753923916392,-0.08795671180434306
2022-05-31,0.016907923379718127,0.0029486672107251477,0.053808207182151506,-0.03978291607995432,-0.028417688838123775,5.317770464463578e-05
2022-06-30,-0.04865164137288404,-0.06496723400467554,-0.08521661747292941,-0.03498365098558519,-0.049338980161258,-0.08391999993382682
2022-07-29,0.04045068288721947,0.05651756785059243,0.022039278346290526,0.030582807696209247,0.1293339799764959,0.09111639173021002
2022-08-31,-0.03352975342207057,-0.034872900938658136,-0.02370747347539115,-0.03368351983233987,-0.02429267320627314,-0.04244012827299837
2022-09-30,-0.07782659410808782,-0.04852238908548468,-0.06957240455463427,-0.0740660058900642,-0.07691273087417405,-0.09339567201327437
2022-10-31,0.04020983378590965,0.159344413583963,0.13645005499688953,0.13733429501194777,0.07424988069693499,0.0798634138370089
2022-11-30,0.04425592604196684,0.028443731145907685,0.017395582636506333,0.04395436471276325,7.851169447412997e-05,0.053752893352493114
2022-12-30,-0.024865231330253555,-0.015352302272191117,-0.010269015966335285,-0.025720721658896373,-0.07128850242153968,-0.05897147407473047
