strategy,start_date,date,observations,annual_return,annual_volatility,sharpe,max_drawdown,annual_active_return,tracking_error,information_ratio
momentum_12_1_equal,2023-05-31,2025-04-30,24,0.3164370895447972,0.21920084945820212,1.3718857213885163,-0.17058852559368298,0.14700614564580824,0.12365993886567656,1.1887936141185633
momentum_12_1_equal,2023-06-30,2025-05-30,24,0.36129655551364137,0.2233784227530471,1.5039305716598137,-0.1705885255936831,0.15271252979902972,0.1240054546839671,1.231498486806276
momentum_12_1_equal,2023-07-31,2025-06-30,24,0.31346419293318917,0.22247985497801429,1.344208335777434,-0.17058852559368298,0.12338647909383293,0.13282449306115654,0.928943723030224
momentum_12_1_equal,2023-08-31,2025-07-31,24,0.27271759608659196,0.22172693348442257,1.2026400686724534,-0.17058852559368298,0.09572108291425507,0.1343404206425971,0.712526300397064
momentum_12_1_equal,2023-09-29,2025-08-29,24,0.28768500366715166,0.2201180893263696,1.2641909729923502,-0.1705885255936831,0.08894327273779176,0.13512745991621075,0.6582176027947488
momentum_12_1_equal,2023-10-31,2025-09-30,24,0.37172545849082383,0.21718802884353508,1.5766955903540092,-0.1705885255936831,0.11108985123218945,0.13761141886687753,0.8072720428793448
momentum_12_1_equal,2023-11-30,2025-10-31,24,0.41484751932358255,0.21149462259159912,1.7642300687025625,-0.1705885255936831,0.1194423361004544,0.13645030239920353,0.8753541326058035
momentum_12_1_equal,2023-12-29,2025-11-28,24,0.3411560061504362,0.20613976573229595,1.5384064871060363,-0.17058852559368298,0.10738374171618678,0.13707537288954091,0.7833919357835307
momentum_12_1_equal,2024-01-31,2025-12-31,24,0.3258754695503403,0.2056783739404655,1.484273931520806,-0.17058852559368298,0.11791672036996245,0.13726615143117749,0.859037127074139
momentum_max_sharpe,2018-09-28,2020-08-31,24,0.5136193333285417,0.4013780657621916,1.220333109449936,-0.24032197900887364,0.37487215037459176,0.2975411997956563,1.2598999756404974
momentum_max_sharpe,2018-10-31,2020-09-30,24,0.42732006687247726,0.41491592064657085,1.0472861907210562,-0.23880235553773876,0.3413540501239251,0.30561895440963166,1.1169269614946606
momentum_max_sharpe,2018-11-30,2020-10-30,24,0.48283018368124875,0.4041547210056091,1.1616870346025712,-0.15529003507472317,0.3554508505499352,0.30254137873433584,1.1748834226807023
momentum_max_sharpe,2018-12-31,2020-11-30,24,0.7094112149545195,0.42094738692280254,1.4806518168444307,-0.15529003507472317,0.4643829250329231,0.2994616646805571,1.5507257849791605
momentum_max_sharpe,2019-01-31,2020-12-31,24,0.8450361978250913,0.41028458417862285,1.7047394738232156,-0.15529003507472317,0.47608556105343114,0.2989508646873868,1.5925211039321603
momentum_max_sharpe,2019-02-28,2021-01-29,24,0.8730304504081385,0.40911590082643523,1.7474939352442764,-0.15529003507472328,0.5364953216198188,0.28894943944224577,1.8567100273854371
momentum_max_sharpe,2019-03-29,2021-02-26,24,0.8420229936658439,0.41129899517895924,1.6973166008285039,-0.15529003507472317,0.5214910975181941,0.29240368528413446,1.783462807629975
momentum_max_sharpe,2019-04-30,2021-03-31,24,0.804689640915587,0.4127089742105258,1.6403779107200402,-0.15529003507472317,0.48812798180594874,0.29728372545615495,1.641959986396701
momentum_max_sharpe,2019-05-31,2021-04-30,24,0.8387994980776006,0.4128719453604187,1.6878194330736018,-0.15529003507472317,0.5014266781883822,0.29603899565429664,1.6937859050634316
momentum_max_sharpe,2019-06-28,2021-05-28,24,0.8698041474860139,0.4099203314116205,1.7402833040239125,-0.15529003507472305,0.4823187841550361,0.2975510357226086,1.6209615368459913
momentum_max_sharpe,2019-07-31,2021-06-30,24,0.8732998976543733,0.40991291268266505,1.7451359994257003,-0.15529003507472305,0.5076531331876095,0.29498433632193566,1.720949456223243
momentum_max_sharpe,2019-08-30,2021-07-30,24,0.861923434115486,0.4107492018530923,1.7266687673204641,-0.15529003507472317,0.49671721934647484,0.29707026330067027,1.6720529810947056
momentum_max_sharpe,2019-09-30,2021-08-31,24,0.9086058411801692,0.41048354129022846,1.7914896069221982,-0.15529003507472317,0.4993253775910137,0.2971549283351617,1.680353680783727
momentum_max_sharpe,2019-10-31,2021-09-30,24,0.8470698173010307,0.41679390343273587,1.6871629946956912,-0.15529003507472305,0.49952280320989273,0.2971242684758182,1.6811915289596984
momentum_max_sharpe,2019-11-29,2021-10-29,24,0.909228081486922,0.41617830082275764,1.7733726970505441,-0.15529003507472328,0.5100067557639164,0.29587523736602606,1.7237223375100803
momentum_max_sharpe,2019-12-31,2021-11-30,24,0.9134742065866621,0.4160003289736085,1.7796350046723026,-0.15529003507472317,0.5334866393262002,0.29373659125884505,1.816207633648488
momentum_max_sharpe,2020-01-31,2021-12-31,24,0.8410835825901091,0.41843553468446604,1.673872586765046,-0.15529003507472317,0.48605411548810795,0.30088530101977684,1.615413294836095
momentum_max_sharpe,2020-02-28,2022-01-31,24,0.7627702582439149,0.42925761685241914,1.5355185653934231,-0.15529003507472328,0.4702579207690044,0.3042949133142408,1.5454018460156647
momentum_max_sharpe,2020-03-31,2022-02-28,24,0.8656443949855586,0.4196596469168521,1.7039588576500901,-0.15529003507472317,0.4998326574716101,0.30478068274526937,1.639974859854756
momentum_max_sharpe,2020-04-30,2022-03-31,24,1.021164916877889,0.40594264302279787,1.957294774983129,-0.15529003507472328,0.4988530136504574,0.30478847601624875,1.6367187505601843
momentum_max_sharpe,2020-05-29,2022-04-29,24,0.7735306466301748,0.38889493390456925,1.6736810625659584,-0.15529003507472317,0.46259006070782216,0.29903351428229,1.5469505544155608
momentum_max_sharpe,2020-06-30,2022-05-31,24,0.7903733141186402,0.3886112767258036,1.70029290914226,-0.15529003507472317,0.49507129371396563,0.2969145607460776,1.6673863769764812
momentum_max_sharpe,2020-07-31,2022-06-30,24,0.5824176237681327,0.390951875198431,1.3624084544722432,-0.15529003507472317,0.41810863377035645,0.2865594508847365,1.459064192367305
momentum_max_sharpe,2020-08-31,2022-07-29,24,0.45010722052736796,0.36975953709850995,1.1767895424978543,-0.15529003507472317,0.3025941150797275,0.27957244217075494,1.0823460020959845
momentum_max_sharpe,2020-09-30,2022-08-31,24,0.21314498785356295,0.2601289196366061,0.8680565918908499,-0.15529003507472317,0.14952397960271271,0.17116109235501414,0.8735862662793551
momentum_max_sharpe,2020-10-30,2022-09-30,24,0.24217627817865206,0.2503968921743595,0.9876233980587709,-0.15072488090419667,0.1980990366007338,0.15911819417070203,1.2449804224664158
momentum_max_sharpe,2020-11-30,2022-10-31,24,0.3572984957858687,0.25786071920764825,1.3169920745443957,-0.15072488090419667,0.23663713059173347,0.15910164977031335,1.4873329782145817
