subperiod,requested_start,requested_end,strategy,start_date,end_date,observations,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_active_return,tracking_error,information_ratio,beta,annual_alpha
period_3,2022-01-01,2022-12-31,momentum_12_1_equal,2022-01-31,2022-12-30,12,-0.04743987231581359,0.24000525664980102,-0.09578735959466028,-0.16225247132828452,-0.18863079541490235,-0.2514959034735943,0.16708100825324906,0.1091068898590965,1.5313515807207212,0.9330337769842871,0.15435270622967018
period_3,2022-01-01,2022-12-31,momentum_max_sharpe,2022-01-31,2022-12-30,12,0.0033116727027702186,0.2385009034105071,0.12187692746012438,0.19362833428817486,-0.15072488090419667,0.021971639207166962,0.2191382353807088,0.15664688791360168,1.3989313053035184,0.806494110697787,0.18235847849040493
period_3,2022-01-01,2022-12-31,momentum_min_vol,2022-01-31,2022-12-30,12,0.03338407334944171,0.20745339759602022,0.25075866731133856,0.45919594865948254,-0.14555048423352313,0.22936422043007335,0.24209121558695956,0.1536494325837607,1.5756076121855218,0.6841059225441968,0.18204907726337727
period_3,2022-01-01,2022-12-31,ml,2022-01-31,2022-12-30,12,-0.14370205439576567,0.2524101271035614,-0.49513988142644866,-0.6926894401946387,-0.19862249554466727,-0.7234933485338734,0.06509215767168004,0.11807383851718574,0.5512834891211386,0.9716125439708247,0.05969654033283702
period_3,2022-01-01,2022-12-31,benchmark,2022-01-31,2022-12-30,12,-0.1944282720342927,0.2297067246272222,-0.8274484710233309,-1.0538483181827643,-0.24769522239058828,-0.784949625421925,,,,,
period_4,2023-01-01,2025-12-31,momentum_3m_equal,2023-01-31,2025-12-31,36,0.274476811635616,0.18125895996111352,1.4386472302793516,2.734476952230003,-0.18572366547688102,1.47787742036452,0.05963144300181347,0.14819964432428315,0.4023723759507201,0.8835874731231734,0.08304622300833178
period_4,2023-01-01,2025-12-31,momentum_12_1_equal,2023-01-31,2025-12-31,36,0.2863939717849162,0.19303264876512802,1.4103442122560181,2.9220320645040987,-0.17058852559368298,1.6788583569041737,0.0711062212527888,0.12894788826120313,0.5514337784947092,1.2266982070850454,0.025508992250236243
period_4,2023-01-01,2025-12-31,momentum_max_sharpe,2023-01-31,2025-12-31,36,0.3192435021575424,0.21367868567598003,1.4105815684844647,3.4474078324683273,-0.14656384378760956,2.1781872930418538,0.1002749578829644,0.18854908248764213,0.5318241624937984,0.8559814623413472,0.12924230758842897
period_4,2023-01-01,2025-12-31,momentum_min_vol,2023-01-31,2025-12-31,36,0.1382222002627549,0.12936935731055468,1.0685081131960585,1.9637268754119293,-0.0958625088575189,1.4418796452343583,-0.06290404982427086,0.1195692726006948,-0.5260887555479311,0.5859195170721386,0.020382548902405845
period_4,2023-01-01,2025-12-31,ml,2023-01-31,2025-12-31,36,0.3504936930040081,0.1709089256067097,1.8608543355579246,4.387888906335258,-0.1329078641160547,2.637117790847637,0.11690035749123423,0.11054265969539896,1.0575135229544317,1.0983671104928112,0.09711516500500755
period_4,2023-01-01,2025-12-31,benchmark,2023-01-31,2025-12-31,36,0.21257934892555763,0.11915167470232303,1.6880690784418906,3.504994292145323,-0.08611104904242173,2.46866518628559,,,,,
