strategy,date,number_nonzero_holdings,maximum_weight,top_2_weight,top_3_weight,hhi,effective_holdings,entropy,turnover,l1_target_weight_change,optimization_status,fallback_indicator
momentum_max_sharpe,2018-02-28,4,0.32910000000000006,0.5849600000000001,0.8208500000000002,0.2615099642000001,3.823946070503112,1.3632999787014002,0.2595913148807972,0.5498080800808008,optimized,False
momentum_max_sharpe,2018-03-29,4,0.37846,0.66742,0.83647,0.28204981660000006,3.545472966636206,1.3230730671465232,0.5443239886796445,1.1699200000000003,optimized,False
momentum_max_sharpe,2018-04-30,3,0.4,0.79373,1.0,0.3575706258000001,2.7966503058316925,1.0591195298865184,0.339646051176309,0.7569200000000001,optimized,False
momentum_max_sharpe,2018-05-31,4,0.4,0.75778,0.9964900000000001,0.34500131260000005,2.89853969674433,1.09604829786714,0.24795832865138237,0.48444000000000037,optimized,False
momentum_max_sharpe,2018-06-29,3,0.4,0.7586700000000001,1.0,0.34688433780000005,2.8828052783880973,1.0773517975521925,0.012931821277230762,0.007020000000000235,optimized,False
momentum_max_sharpe,2018-07-31,3,0.4,0.7912300000000001,1.0000000000000002,0.35664582580000004,2.8039021563111755,1.0607126854279043,0.23785167035740976,0.48266000000000014,optimized,False
momentum_max_sharpe,2018-08-31,4,0.4,0.8,0.9048600000000001,0.3400472392000001,2.940767883758192,1.1933133150292576,0.6020796568001677,1.2175400000000003,optimized,False
momentum_max_sharpe,2018-09-28,4,0.4,0.8,0.9241700000000002,0.3411683778000001,2.9311040092532274,1.1876494633481187,0.4956512162494262,1.0097200000000004,optimized,False
momentum_max_sharpe,2018-10-31,4,0.39999600003999963,0.7557824421755783,0.9922900770992291,0.34257609674380757,2.9190594717641405,1.1126965180007125,0.4780073261223621,0.9516679999200011,optimized,False
momentum_max_sharpe,2018-11-30,4,0.4,0.8,0.9152100000000001,0.34046268820000003,2.937179416889771,1.1912271595010193,0.7401386370664473,1.5269847301526989,optimized,False
momentum_max_sharpe,2018-12-31,4,0.4,0.8,0.9833400000000001,0.35389111120000005,2.8257279382042864,1.1122713771741692,0.903423158948877,1.8304200000000002,optimized,False
momentum_max_sharpe,2019-01-31,3,0.4,0.8,1.0000000000000002,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.389918371584381,0.8000000000000002,optimized,False
momentum_max_sharpe,2019-02-28,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.6,1.2000000000000006,optimized,False
momentum_max_sharpe,2019-03-29,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.201452988546992,0.40000000000000013,optimized,False
momentum_max_sharpe,2019-04-30,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.6017909612147399,1.2000000000000004,optimized,False
momentum_max_sharpe,2019-05-31,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.6,1.2000000000000002,optimized,False
momentum_max_sharpe,2019-06-28,3,0.4,0.74907,1.0,0.3448157298,2.9000997158105863,1.0808375814579527,0.65093,1.30186,optimized,False
momentum_max_sharpe,2019-07-31,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.7999999999999998,1.6,optimized,False
momentum_max_sharpe,2019-08-30,5,0.3999960000399996,0.6171338286617134,0.8158618413815862,0.2640754857638772,3.786796025792977,1.4558132499739274,0.7828621713782864,1.5657243427565728,optimized,False
momentum_max_sharpe,2019-09-30,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.8881066587376831,1.7847621523784765,optimized,False
momentum_max_sharpe,2019-10-31,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.4149039602958491,0.8,optimized,False
momentum_max_sharpe,2019-11-29,3,0.4,0.7399100000000001,1.0,0.3431856162000001,2.9138750367009107,1.0835748423582883,0.8014806118550479,1.6,optimized,False
momentum_max_sharpe,2019-12-31,4,0.4,0.8,0.9518800000000001,0.3453830688000001,2.895335904780749,1.165274277888684,0.5959706347680699,1.22394,optimized,False
momentum_max_sharpe,2020-01-31,4,0.4,0.8,0.9692000000000001,0.3495772800000001,2.860597805440902,1.140837207982859,0.17595479758551275,0.33840000000000003,optimized,False
momentum_max_sharpe,2020-02-28,4,0.4,0.8,0.91608,0.34051713280000007,2.9367097971758787,1.190952680465989,0.6,1.2000000000000002,optimized,False
momentum_max_sharpe,2020-03-31,3,0.4,0.7099600000000001,1.0000000000000002,0.3401984032000001,2.93946118086894,1.088569242571774,0.47213333348937725,0.9678400000000004,optimized,False
momentum_max_sharpe,2020-04-30,4,0.4,0.8,0.98031,0.3528993922000001,2.8336688078886403,1.1192529412441086,0.534446912445677,0.9800800000000001,optimized,False
momentum_max_sharpe,2020-05-29,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.6000000000000001,1.2000000000000002,optimized,False
momentum_max_sharpe,2020-06-30,3,0.4,0.8,1.0000000000000002,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.40917377005648187,0.8000000000000003,optimized,False
momentum_max_sharpe,2020-07-31,4,0.4,0.63407,0.8236800000000001,0.28182945940000004,3.5482451058485758,1.327693772600403,0.23406999999999992,0.4681400000000003,optimized,False
momentum_max_sharpe,2020-08-31,4,0.4,0.67376,0.9294100000000001,0.3052844082,3.275634042027044,1.2569907929373838,0.12668951293216446,0.21145999999999995,optimized,False
momentum_max_sharpe,2020-09-30,3,0.4,0.71838,1.0,0.3406756488,2.9353433493776615,1.0877731884747104,0.1630734746603251,0.14117999999999992,optimized,False
momentum_max_sharpe,2020-10-30,4,0.4,0.77492,0.8995700000000001,0.3261888138000001,3.0657090546739028,1.2246983831789622,0.6120303841947516,1.2000000000000002,optimized,False
momentum_max_sharpe,2020-11-30,4,0.4,0.78573,0.9207800000000002,0.33330194380000006,3.0002825324056808,1.2052188841593816,0.023098428115104194,0.04242000000000011,optimized,False
momentum_max_sharpe,2020-12-31,4,0.4,0.8,0.94191,0.3435128962000001,2.91109885847715,1.1754309907502645,0.1390699853638352,0.15844000000000014,optimized,False
momentum_max_sharpe,2021-01-29,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.5446674934862392,1.0838200000000002,optimized,False
momentum_max_sharpe,2021-02-26,4,0.4,0.8,0.9834500000000002,0.3539278050000001,2.825434978187147,1.112007163746083,0.22975678933367044,0.40000000000000013,optimized,False
momentum_max_sharpe,2021-03-31,4,0.4,0.8,0.9790300000000001,0.3524914818000001,2.8369479877740402,1.1220423010044123,0.4568790851901581,0.80884,optimized,False
momentum_max_sharpe,2021-04-30,3,0.4,0.77556,1.0,0.3514186272000001,2.8456089763018677,1.0696624321616164,0.4411370784862072,0.8908200000000001,optimized,False
momentum_max_sharpe,2021-05-28,4,0.4,0.65605,0.8353,0.2848182550000001,3.511010907640031,1.3205381979565782,0.6034888618415344,1.2488800000000002,optimized,False
momentum_max_sharpe,2021-06-30,4,0.4,0.6245400000000001,0.8441600000000001,0.28293726160000005,3.534352436808909,1.3245193529350094,0.6016075844674561,1.2000000000000002,optimized,False
momentum_max_sharpe,2021-07-30,3,0.36546,0.70384,1.0,0.3357727816,2.9782044727832697,1.0949191195294854,0.4065942994159479,0.8840000000000001,optimized,False
momentum_max_sharpe,2021-08-31,4,0.4,0.8,0.9947100000000001,0.35793996820000007,2.7937645662449375,1.0793555029791466,0.43186905710894835,0.93382,optimized,False
momentum_max_sharpe,2021-09-30,4,0.4,0.8,0.9078300000000001,0.3401226178000001,2.9401161453720874,1.1929358870932198,0.11430681760827949,0.20508000000000004,optimized,False
momentum_max_sharpe,2021-10-29,4,0.37964,0.7477,0.97935,0.3336828382,2.9968577508940646,1.1544901852719256,0.38871,0.7774200000000002,optimized,False
momentum_max_sharpe,2021-11-30,5,0.30037,0.59587,0.7999700000000001,0.24693417180000005,4.049662275215325,1.4647905462597284,0.7686406939727441,1.5504999999999998,optimized,False
momentum_max_sharpe,2021-12-31,5,0.33930000000000005,0.64134,0.84407,0.2649147170000001,3.774799721677976,1.412655456104313,0.5945409431509717,1.2069800000000002,optimized,False
momentum_max_sharpe,2022-01-31,4,0.39731,0.6689499999999999,0.85847,0.287592097,3.4771470093630565,1.3127015315502844,0.456224320934629,0.9423599999999998,optimized,False
momentum_max_sharpe,2022-02-28,5,0.4,0.7772147721477215,0.9456874568745688,0.3336237735421085,2.997388313737134,1.1925493816831736,0.8410120407347501,1.7169400000000001,optimized,False
momentum_max_sharpe,2022-03-31,3,0.39668,0.73333,1.0,0.3418011338,2.9256778316748813,1.0857644020881572,0.5524409252831757,1.1369473694736947,optimized,False
momentum_max_sharpe,2022-04-29,4,0.4,0.75948,0.9879300000000001,0.34156095780000006,2.9277350855350006,1.124904927421242,0.09095159901093347,0.21640000000000015,optimized,False
momentum_max_sharpe,2022-05-31,5,0.4,0.7819100000000001,0.9469300000000002,0.33580015500000004,2.9779616986775954,1.192189857049781,0.2594115999001401,0.51524,optimized,False
momentum_max_sharpe,2022-06-30,5,0.4,0.6801900000000001,0.8645200000000001,0.2828210930000001,3.5358041700234843,1.390678453033489,0.4519710688296402,0.9122000000000002,optimized,False
momentum_max_sharpe,2022-07-29,4,0.4,0.64631,0.8648000000000001,0.2866855362000001,3.488142489694252,1.3144988796155885,0.6685442784782465,1.3603800000000001,optimized,False
momentum_max_sharpe,2022-08-31,3,0.38728,0.72224,1.0,0.33933461759999994,2.9469436601330714,1.0895471531040557,0.587821227154445,1.23698,optimized,False
momentum_max_sharpe,2022-09-30,4,0.4,0.8,0.9609400000000001,0.34742736720000006,2.878299450210956,1.153683647585619,0.6716603607923368,1.3300800000000002,optimized,False
momentum_max_sharpe,2022-10-31,4,0.4,0.8,0.9107000000000001,0.34022898000000007,2.939197007850418,1.1924025093714432,0.9596264717651285,1.9218800000000003,optimized,False
momentum_max_sharpe,2022-11-30,3,0.4,0.71179,1.0,0.3402780082000001,2.938773520186603,1.0884365089990085,0.6000000000000001,1.2000000000000002,optimized,False
momentum_max_sharpe,2022-12-30,4,0.4,0.8,0.93469,0.34240679220000003,2.9205028135537083,1.181261854533943,0.46732332618782024,0.93062,optimized,False
momentum_max_sharpe,2023-01-31,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.06681129072318209,0.13062000000000015,optimized,False
momentum_max_sharpe,2023-02-28,5,0.2,0.4,0.6000000000000001,0.20000000000000004,4.999999999999999,1.6094379124341005,1.0,2.0,fallback_equal:optimizer_failure,True
momentum_max_sharpe,2023-03-31,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.4263337555830751,0.8,optimized,False
momentum_max_sharpe,2023-04-28,5,0.2,0.4,0.6000000000000001,0.20000000000000004,4.999999999999999,1.6094379124341005,0.8,1.6,fallback_equal:optimizer_failure,True
momentum_max_sharpe,2023-05-31,4,0.4,0.8,0.9456100000000001,0.3441605442000001,2.9056206960751307,1.1719579125062403,0.653579727752495,1.3087799999999998,optimized,False
momentum_max_sharpe,2023-06-30,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.40922649245044806,0.8000000000000002,optimized,False
momentum_max_sharpe,2023-07-31,3,0.4,0.7229300000000001,1.0,0.34105156980000007,2.9321078937898495,1.0871456485316182,0.1219684196132673,0.24586000000000008,optimized,False
momentum_max_sharpe,2023-08-31,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.26609220231063185,0.5541400000000001,optimized,False
momentum_max_sharpe,2023-09-29,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.6,1.2000000000000002,optimized,False
momentum_max_sharpe,2023-10-31,3,0.4,0.7669900000000001,1.0000000000000002,0.3489753202000001,2.865532151175886,1.0738142451052235,1.0000000000000002,2.0000000000000004,optimized,False
momentum_max_sharpe,2023-11-30,5,0.4,0.8,0.8770234369010358,0.33357525543841804,2.997824280118439,1.2728037054727714,0.9229765630989641,1.845953126197929,optimized,False
momentum_max_sharpe,2023-12-29,4,0.4,0.69021,0.86844,0.29329581060000004,3.409527050366944,1.299781655679556,0.8008344059875782,1.601173309599763,optimized,False
momentum_max_sharpe,2024-01-31,4,0.4,0.8,0.9890000000000001,0.3558420000000001,2.810236003619583,1.097516607448697,0.401297646783908,0.8215400000000002,optimized,False
momentum_max_sharpe,2024-02-29,4,0.3873538735387354,0.7170471704717047,0.988269882698827,0.33244004866772936,3.0080611647349698,1.1392408565042214,0.38735387353873546,0.7747077470774709,optimized,False
momentum_max_sharpe,2024-03-28,4,0.32181000000000004,0.5669000000000001,0.7944200000000001,0.257659271,3.8810945793601968,1.3715529643483713,0.28826068093765017,0.5123345755457556,optimized,False
momentum_max_sharpe,2024-04-30,5,0.38543000000000005,0.6261700000000001,0.8312800000000001,0.27066290300000007,3.6946326552922537,1.400250878441811,0.40715,0.8143000000000001,optimized,False
momentum_max_sharpe,2024-05-31,5,0.4,0.7366343663436634,0.8885268852688527,0.30882006627044345,3.2381315504422843,1.2638650416322266,0.33613053646663626,0.7042200000000001,optimized,False
momentum_max_sharpe,2024-06-28,4,0.3603663963360367,0.6515134848651514,0.8965310346896531,0.2853699932715976,3.5042226708407336,1.3063729183992852,0.2946381755444383,0.5822941770582296,optimized,False
momentum_max_sharpe,2024-07-31,4,0.37512,0.70227,0.98381,0.3272690246,3.055590125653462,1.1569490373824387,0.45224001643436174,0.9468849003509966,optimized,False
momentum_max_sharpe,2024-08-30,3,0.4,0.7307800000000001,1.0,0.3418948168000001,2.92487616325864,1.0857363832490163,0.38870632582514486,0.7826200000000002,optimized,False
momentum_max_sharpe,2024-09-30,4,0.3999960000399996,0.7304826951730483,0.9000609993900062,0.30796286081198754,3.2471447932499355,1.26351346302893,0.5000649993500066,1.0001299987000132,optimized,False
momentum_max_sharpe,2024-10-31,4,0.4,0.7170200000000001,0.9692200000000001,0.3250539288000001,3.0764125931093798,1.1852614152865124,0.2521999999999999,0.5044079999200008,optimized,False
momentum_max_sharpe,2024-11-29,4,0.38384,0.73627,0.9627300000000001,0.3242132350000001,3.08438981523996,1.194026093396384,0.3211473252426383,0.6611000000000002,optimized,False
momentum_max_sharpe,2024-12-31,3,0.4,0.76368,1.0,0.34811028480000006,2.872652844987129,1.0752794518414217,0.37620112400497824,0.8422200000000002,optimized,False
momentum_max_sharpe,2025-01-31,5,0.4,0.63361,0.84874,0.27933681400000004,3.579907659432243,1.3741331480602186,1.0,2.0,optimized,False
momentum_max_sharpe,2025-02-28,5,0.4,0.77668,0.9581900000000001,0.33636042900000007,2.973001321745846,1.187137880704848,0.6055872445109558,1.20838,optimized,False
momentum_max_sharpe,2025-03-31,4,0.39999600003999963,0.7455125448745513,0.9424605753942461,0.32147779491195405,3.110634749357662,1.2179977985766735,0.820701957065284,1.6369800000000003,optimized,False
momentum_max_sharpe,2025-04-30,4,0.4,0.8,0.9097400000000001,0.34018973520000007,2.939536078042133,1.1925994224001437,0.19504163453866394,0.3938960610393898,optimized,False
momentum_max_sharpe,2025-05-30,4,0.4,0.76256,0.8987800000000001,0.32025113040000003,3.122549477814427,1.2377497372482815,0.4140962356010375,0.82192,optimized,False
momentum_max_sharpe,2025-06-30,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.6467563868978582,1.2748800000000005,optimized,False
momentum_max_sharpe,2025-07-31,4,0.4,0.8,0.92966,0.3417594312000001,2.926034832422204,1.184618699739771,0.9296599999999999,1.8593199999999999,optimized,False
momentum_max_sharpe,2025-08-29,4,0.4,0.8,0.9399300000000002,0.3431888098000001,2.9138479211567803,1.1771522809269697,0.1439530525188445,0.2798600000000001,optimized,False
momentum_max_sharpe,2025-09-30,5,0.4,0.7939149391493916,0.9768277682776829,0.34916298832485027,2.8639919849397995,1.1314676838915816,0.5768287682876829,1.1536575365753658,optimized,False
momentum_max_sharpe,2025-10-31,4,0.4,0.8,0.94952,0.34490446080000003,2.899353628771623,1.1679114653255664,0.5768115032931566,1.165827658276583,optimized,False
momentum_max_sharpe,2025-11-28,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.19171242969692062,0.29904000000000014,optimized,False
momentum_max_sharpe,2025-12-31,3,0.4,0.7939400000000001,1.0,0.3576494472000001,2.7960339595905848,1.0589836062835594,0.20652646234847594,0.4121200000000001,optimized,False
momentum_min_vol,2015-05-29,5,0.2,0.4,0.6000000000000001,0.20000000000000004,4.999999999999999,1.6094379124341005,1.0,1.0,fallback_equal:insufficient_history,True
momentum_min_vol,2015-06-30,5,0.2,0.4,0.6000000000000001,0.20000000000000004,4.999999999999999,1.6094379124341005,0.21321828245310442,0.4,fallback_equal:insufficient_history,True
momentum_min_vol,2015-07-31,5,0.2,0.4,0.6000000000000001,0.20000000000000004,4.999999999999999,1.6094379124341005,0.014782115675941232,0.0,fallback_equal:insufficient_history,True
momentum_min_vol,2015-08-31,5,0.2,0.4,0.6000000000000001,0.20000000000000004,4.999999999999999,1.6094379124341005,0.6146471956831198,1.2000000000000002,fallback_equal:insufficient_history,True
momentum_min_vol,2015-09-30,5,0.2,0.4,0.6000000000000001,0.20000000000000004,4.999999999999999,1.6094379124341005,0.20241741353802745,0.4,fallback_equal:insufficient_history,True
momentum_min_vol,2015-10-30,5,0.2,0.4,0.6000000000000001,0.20000000000000004,4.999999999999999,1.6094379124341005,0.40142569827707414,0.8,fallback_equal:insufficient_history,True
momentum_min_vol,2015-11-30,5,0.2,0.4,0.6000000000000001,0.20000000000000004,4.999999999999999,1.6094379124341005,0.21008488641027379,0.4,fallback_equal:insufficient_history,True
momentum_min_vol,2015-12-31,5,0.2,0.4,0.6000000000000001,0.20000000000000004,4.999999999999999,1.6094379124341005,0.2073481059556681,0.4,fallback_equal:insufficient_history,True
momentum_min_vol,2016-01-29,5,0.38682000000000005,0.5918300000000001,0.7737300000000001,0.2559921354000001,3.9063700079592354,1.4694071746707773,0.19484275076201352,0.38366,optimized,False
momentum_min_vol,2016-02-29,5,0.4,0.7965900000000001,0.8873300000000002,0.33256289860000005,3.00694997610897,1.2688294987200057,0.79659,1.59318,optimized,False
momentum_min_vol,2016-03-31,4,0.4,0.7466300000000001,0.9176600000000001,0.31618349340000007,3.162720448328122,1.2413891269079116,0.48234,0.96468,optimized,False
momentum_min_vol,2016-04-29,5,0.4,0.7522800000000001,0.9196600000000001,0.31555382640000007,3.169031449906702,1.2888796570641252,0.3468879217388538,0.69326,optimized,False
momentum_min_vol,2016-05-31,5,0.4,0.8,0.9146500000000001,0.3376534622000001,2.9616163076914535,1.2399564807832304,0.7747738769319364,1.5644400000000003,optimized,False
momentum_min_vol,2016-06-30,5,0.36042,0.57433,0.7466200000000001,0.23870664960000001,4.189242325991743,1.5191525860478645,0.877516098292247,1.7531400000000001,optimized,False
momentum_min_vol,2016-07-29,4,0.4,0.8,0.9203600000000001,0.34082905920000006,2.9340221234281416,1.1893751832705268,0.7999999999999998,1.5999999999999996,optimized,False
momentum_min_vol,2016-08-31,5,0.4,0.62148,0.80778,0.26279915280000005,3.805187305002605,1.460719637119404,0.80778,1.61556,optimized,False
momentum_min_vol,2016-09-30,4,0.4,0.8,0.9638000000000001,0.3481408800000001,2.872400391473704,1.149501458315616,0.7999999999999998,1.6,optimized,False
momentum_min_vol,2016-10-31,5,0.4,0.78734,0.9652400000000001,0.34279617460000006,2.9171854124885552,1.1636455124703526,0.9666300000000001,1.9332600000000002,optimized,False
momentum_min_vol,2016-11-30,5,0.4,0.6638036380363803,0.8828668286682867,0.28777292592974135,3.474962061733862,1.3516843328926504,0.4101533613705571,0.8340176449764499,optimized,False
momentum_min_vol,2016-12-30,4,0.4,0.74043,0.9806300000000001,0.33396382180000006,2.994336316461449,1.1523343165441486,0.6401999999999999,1.2836376449764497,optimized,False
momentum_min_vol,2017-01-31,5,0.4,0.6629800000000001,0.9090400000000002,0.29457891300000005,3.3946761151909057,1.335529060900917,0.3358281481561265,0.68086,optimized,False
momentum_min_vol,2017-02-28,5,0.4,0.8,0.9387900000000001,0.3412967386000001,2.9300016287937645,1.2178634454833395,0.5146021366048501,1.0273400000000004,optimized,False
momentum_min_vol,2017-03-31,5,0.4,0.6121800000000001,0.7979800000000001,0.2690254664000001,3.717120216839069,1.4222629034611165,0.9663600000000001,1.9327200000000004,optimized,False
momentum_min_vol,2017-04-28,5,0.3579835798357984,0.6218962189621897,0.834708347083471,0.2589318157104211,3.8620205757888,1.447146245790225,0.37791355754513345,0.8,optimized,False
momentum_min_vol,2017-05-31,5,0.33899,0.62198,0.81621,0.2624458572,3.810309717474176,1.3973503104453258,0.62198,1.24396,optimized,False
momentum_min_vol,2017-06-30,4,0.4,0.8,0.97116,0.3501274912000001,2.8561024916172015,1.1374231782041915,0.6974402969090295,1.4104400000000001,optimized,False
momentum_min_vol,2017-07-31,5,0.36541,0.73077,0.94289,0.3144328766000001,3.1803290127073174,1.2523825246784874,0.602751562886305,1.2116000000000002,optimized,False
momentum_min_vol,2017-08-31,4,0.38204000000000005,0.7276600000000001,0.8714600000000001,0.3026087176000001,3.3045974614711486,1.2773800103729545,0.6253681929950705,1.2691800000000002,optimized,False
momentum_min_vol,2017-09-29,5,0.29947,0.58944,0.8297,0.25867903940000003,3.8657944699326103,1.3884332016938932,0.5840479813775725,1.1629800000000001,optimized,False
momentum_min_vol,2017-10-31,5,0.3999960000399996,0.6380136198638013,0.8304016959830401,0.2798066285394486,3.57389674869341,1.358763393561225,0.6453615706421724,1.3364232297677023,optimized,False
momentum_min_vol,2017-11-30,4,0.27256,0.52383,0.76537,0.25081837500000004,3.9869487233540997,1.3846752900779293,0.5617139473198564,1.1391886081139189,optimized,False
momentum_min_vol,2017-12-29,5,0.4,0.6144000000000001,0.82413,0.27460064140000007,3.641652091203017,1.3925877180090191,0.7856000000000001,1.5712000000000002,optimized,False
momentum_min_vol,2018-01-31,5,0.3924839248392484,0.6843368433684336,0.8502185021850217,0.2780182280367589,3.5968864597891845,1.4122707974196238,0.3723337233372334,0.7446674466744669,optimized,False
momentum_min_vol,2018-02-28,5,0.39999600003999963,0.6089239107608925,0.7904720952790473,0.2598158727565633,3.8488795522395143,1.470056883900958,0.2975336016380776,0.5837058370583706,optimized,False
