strategy,removed_ticker,start_date,end_date,observations,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_active_return,tracking_error,information_ratio,beta,annual_alpha,baseline_annual_return,baseline_sharpe,baseline_max_drawdown,baseline_information_ratio,annual_return_delta,sharpe_delta,max_drawdown_delta,information_ratio_delta
ml,HD,2018-09-28,2025-12-31,88,0.3218668586600688,0.22640483112683352,1.353447981145577,3.0154130288095002,-0.18699367185164695,1.7212713963680262,0.17454868789393832,0.13506028404612627,1.292376135047412,1.0762265821079529,0.16449604258893288,0.3082573020577686,1.2909004212855009,-0.19862249554466727,1.2458206937952305,0.013609556602300232,0.06254755986007621,0.011628823693020318,0.04655544125218136
momentum_3m_equal,JPM,2018-09-28,2025-12-31,88,0.32218049621967526,0.24204232915666146,1.281504318263871,2.692501938586317,-0.21318780318821962,1.5112520106754324,0.1782998163006272,0.17352752894211365,1.027501615378304,0.9969042460809451,0.1787080796024733,0.34041779836627173,1.3380714175106458,-0.2056512969213642,1.1095787854817165,-0.018237302146596468,-0.05656709924677483,-0.007536506266855425,-0.08207717010341242
momentum_12_1_equal,JPM,2018-09-28,2025-12-31,88,0.2868235671941526,0.24721959929291282,1.148044048924984,2.404187169848615,-0.20763918134044423,1.381355702437865,0.15194051602956804,0.15565950518297855,0.9761081782378864,1.1437618637107427,0.13298142086478748,0.30318265765590335,1.2092839937585151,-0.20763364403817963,1.0772298287484574,-0.01635909046175077,-0.061239944833531235,-5.53730226460214e-06,-0.10112165051057098
ml,JPM,2018-09-28,2025-12-31,88,0.38449398769060594,0.2261589530689392,1.5651798866694475,3.611659675751023,-0.200615938273078,1.916567502065731,0.22210097081744354,0.13307336401878186,1.6690114693883922,1.0835823157510962,0.21107826258651677,0.3082573020577686,1.2909004212855009,-0.19862249554466727,1.2458206937952305,0.07623668563283736,0.27427946538394665,-0.0019934427284107326,0.42319077559316165
momentum_3m_equal,KO,2018-09-28,2025-12-31,88,0.3276364990628664,0.24369930163039916,1.2914579895774498,2.7631606673213205,-0.21657299542375552,1.5128224939669856,0.18284893642874414,0.17478734632439472,1.0461222752898118,1.0032924911960879,0.18241472771507977,0.34041779836627173,1.3380714175106458,-0.2056512969213642,1.1095787854817165,-0.012781299303405325,-0.046613427933196006,-0.01092169850239133,-0.06345651019190468
momentum_12_1_equal,KO,2018-09-28,2025-12-31,88,0.30946770899436626,0.24548578117503944,1.226890661809829,2.630125582790882,-0.19295816279847255,1.6038072943178747,0.16930573881446728,0.15229338751290672,1.1117077476533166,1.146944127129697,0.14992697160703186,0.30318265765590335,1.2092839937585151,-0.20763364403817963,1.0772298287484574,0.00628505133846291,0.017606668051313834,0.014675481239707078,0.034477918904859184
ml,KO,2018-09-28,2025-12-31,88,0.3987593255927617,0.22196094410985537,1.6375012470231334,3.9047509807289185,-0.18050513066584817,2.2091301456186674,0.23158284905404047,0.1250723508204236,1.8515910793628767,1.0867972452335277,0.2201361608298652,0.3082573020577686,1.2909004212855009,-0.19862249554466727,1.2458206937952305,0.09050202353499315,0.3466008257376325,0.018117364878819098,0.6057703855676462
momentum_3m_equal,MA,2018-09-28,2025-12-31,88,0.329747555269726,0.24336683197951134,1.2996560701896092,2.7726470365097895,-0.23383930938443298,1.4101459508145373,0.18441470674870686,0.17531020798776456,1.0519336487329802,0.9972717858117975,0.18477449947181812,0.34041779836627173,1.3380714175106458,-0.2056512969213642,1.1095787854817165,-0.01067024309654574,-0.038415347321036686,-0.02818801246306879,-0.05764513674873628
momentum_12_1_equal,MA,2018-09-28,2025-12-31,88,0.30232346316232594,0.2395651848120612,1.2277523811386202,2.7258628687541844,-0.21684482439604325,1.3941926629070258,0.16224825237464213,0.15360800076528774,1.0562487081812661,1.08980757098058,0.15040456698555674,0.30318265765590335,1.2092839937585151,-0.20763364403817963,1.0772298287484574,-0.0008591944935774087,0.018468387380105034,-0.009211180357863613,-0.020981120567191258
ml,MA,2018-09-28,2025-12-31,88,0.37851444514768606,0.22585810688449534,1.5465891409231942,3.5749578727669764,-0.17222625064531294,2.1977744027372936,0.21743122178075086,0.13030746195230122,1.6686014639771058,1.0939225680077636,0.2050448568643736,0.3082573020577686,1.2909004212855009,-0.19862249554466727,1.2458206937952305,0.07025714308991748,0.25568871963769335,0.026396244899354326,0.4227807701818753
momentum_3m_equal,META,2018-09-28,2025-12-31,88,0.30702233909324295,0.23429191176922504,1.2664320074347637,2.628325675979568,-0.21613907382531639,1.4204851240427652,0.16483630243134847,0.16558927121348826,0.9954527924628098,0.9794559026689802,0.16754562663124203,0.34041779836627173,1.3380714175106458,-0.2056512969213642,1.1095787854817165,-0.03339545927302878,-0.07163941007588215,-0.010487776903952195,-0.11412599301890669
momentum_12_1_equal,META,2018-09-28,2025-12-31,88,0.2807887106862381,0.2410979446292639,1.1512575623150134,2.4172407841573285,-0.20763364403817952,1.3523276152423878,0.14568735829676674,0.14993817625771608,0.9716495287121341,1.1221059587194755,0.1295842108291792,0.30318265765590335,1.2092839937585151,-0.20763364403817963,1.0772298287484574,-0.022393946969665235,-0.058026431443501725,1.1102230246251565e-16,-0.10558030003632335
ml,META,2018-09-28,2025-12-31,88,0.3147563741111905,0.22896811692337565,1.3174303436929804,2.790678645447514,-0.251889404259637,1.2495816369741097,0.1697710712568176,0.13135980691835858,1.2924126126519961,1.113802969196203,0.15476290937484152,0.3082573020577686,1.2909004212855009,-0.19862249554466727,1.2458206937952305,0.006499072053421928,0.026529922407479534,-0.05326690871496975,0.04659191885676561
momentum_3m_equal,MSFT,2018-09-28,2025-12-31,88,0.33408514429233405,0.238141605424247,1.3376385119209688,2.796905673041,-0.21366772030516046,1.5635733081964525,0.18666890898988062,0.1692471330732407,1.1029369041607382,0.989821303867334,0.18801125990027837,0.34041779836627173,1.3380714175106458,-0.2056512969213642,1.1095787854817165,-0.006332654073937682,-0.00043290558967701287,-0.008016423383796267,-0.006641881320978316
momentum_12_1_equal,MSFT,2018-09-28,2025-12-31,88,0.2727795239656541,0.2403427278389757,1.1274202866277132,2.4012241286272675,-0.2249902513806945,1.2124059699995524,0.1390887933928248,0.1506500479767755,0.9232575446259862,1.1120261879590987,0.12431495070852575,0.30318265765590335,1.2092839937585151,-0.20763364403817963,1.0772298287484574,-0.030403133690249273,-0.08186370713080193,-0.017356607342514874,-0.15397228412247121
ml,MSFT,2018-09-28,2025-12-31,88,0.37399296737481635,0.2398199511911276,1.4557606348268253,3.259169599466622,-0.21399705180994477,1.7476547653888581,0.21724197067385437,0.14284675936922234,1.5208043334909644,1.1476146218981562,0.19777477963971984,0.3082573020577686,1.2909004212855009,-0.19862249554466727,1.2458206937952305,0.06573566531704778,0.1648602135413244,-0.015374556265277506,0.2749836396957339
momentum_3m_equal,NVDA,2018-09-28,2025-12-31,88,0.27080909222904426,0.21752673325739597,1.2153970818046316,2.5514226593120304,-0.18596802450767858,1.4562132008767057,0.13250288309925376,0.14931884755563046,0.8873821708936527,0.9366788434778947,0.14085358057533873,0.34041779836627173,1.3380714175106458,-0.2056512969213642,1.1095787854817165,-0.06960870613722747,-0.12267433570601427,0.019683272413685615,-0.22219661458806383
