date,rank_ic,top_n_hit_rate,top_n_spread,rolling_12m_mean_rank_ic,rolling_12m_positive_ic_fraction,rolling_12m_top_n_hit_rate,rolling_12m_top_n_spread
2021-05-28,-0.1639097744360902,0.6,0.02013931311717642,0.07180451127819547,0.6666666666666666,0.6,0.030805959568119507
2021-06-30,0.003007518796992481,0.6,0.009904272515452686,0.06165413533834585,0.6666666666666666,0.6,0.028402984514806367
2021-07-30,0.11127819548872178,0.8,0.03938405144704784,0.0601503759398496,0.6666666666666666,0.6,0.019469512337183918
2021-08-31,-0.306766917293233,0.2,-0.01680506514889715,0.05050125313283207,0.6666666666666666,0.5833333333333334,0.019031145344532645
2021-09-30,-0.08571428571428572,0.6,-0.012539188656523662,0.07142857142857141,0.6666666666666666,0.6166666666666667,0.01950247734156144
2021-10-29,-0.05864661654135337,0.6,0.02912533346264692,0.03671679197994986,0.5833333333333334,0.6,0.01435710680888754
2021-11-30,-0.013533834586466165,0.4,-0.021403526774884416,0.007142857142857136,0.5,0.5666666666666668,0.008609151047709988
2021-12-31,0.3533834586466165,0.6,0.02182019638503676,0.012656641604010019,0.5,0.5499999999999999,0.006239255227818937
2022-01-31,0.20150375939849624,0.6,0.016602785444009085,0.054761904761904755,0.5833333333333334,0.5666666666666667,0.008404392599073484
2022-02-28,0.2721804511278195,0.4,0.015554823698739596,0.05776942355889723,0.5833333333333334,0.5499999999999999,0.006507773460271826
2022-03-31,-0.1639097744360902,0.4,-0.06307310696445187,0.028070175438596495,0.5,0.5333333333333333,0.0014968449335284438
2022-04-29,-0.19849624060150375,0.4,-0.011681743473974448,-0.004135338345864661,0.4166666666666667,0.5166666666666667,0.0022523454209481468
2022-05-31,0.3383458646616541,0.8,0.023966081361268224,0.037719298245614034,0.5,0.5333333333333333,0.002571242774622464
2022-06-30,0.12932330827067667,0.6,0.030961274794704993,0.048245614035087724,0.5,0.5333333333333333,0.0043259929645601556
2022-07-29,-0.09172932330827067,0.8,0.01931032246186611,0.03132832080200501,0.4166666666666667,0.5333333333333333,0.002653182215795012
2022-08-31,0.1744360902255639,0.6,0.011208994784438792,0.07142857142857141,0.5,0.5666666666666667,0.004987687210239674
2022-09-30,0.13233082706766916,0.4,0.004392070700433043,0.08959899749373433,0.5833333333333334,0.5499999999999999,0.006398625489986066
2022-10-31,-0.39097744360902253,0.4,-0.062474857561488045,0.061904761904761886,0.5833333333333334,0.5333333333333333,-0.0012347237620251815
2022-11-30,-0.25864661654135335,0.6,-0.004417526168590924,0.04147869674185462,0.5833333333333334,0.5499999999999999,0.00018077628849927623
2022-12-30,-0.037593984962406006,0.4,-0.02454754921196673,0.008897243107769418,0.5,0.5333333333333333,-0.003683202511251015
2023-01-31,-0.20902255639097742,0.2,-0.04915344293482458,-0.025313283208020055,0.4166666666666667,0.5,-0.009162888209487153
2023-02-28,0.2571428571428572,0.6,0.042358584630692975,-0.02656641604010025,0.4166666666666667,0.5166666666666667,-0.006929241465157704
2023-03-31,0.13533834586466165,0.6,0.006547556240870812,-0.0016290726817042602,0.5,0.5333333333333333,-0.0011275195313808141
2023-04-28,0.23458646616541348,0.6,0.03212630690988644,0.034461152882205505,0.5833333333333334,0.5499999999999999,0.002523151333940926
2023-05-31,0.09473684210526315,0.4,-0.006285250377625513,0.014160401002506262,0.5833333333333334,0.5166666666666667,2.2070223664481226e-06
2023-06-30,0.35037593984962395,0.8,0.04171735213218447,0.032581453634085204,0.5833333333333334,0.5333333333333333,0.0008985468004897379
2023-07-31,-0.09022556390977443,0.4,-0.0076897031118133286,0.03270676691729322,0.5833333333333334,0.5,-0.0013514553306502152
2023-08-31,-0.22406015037593985,0.6,-0.013064738953980734,-0.0005012531328320904,0.5,0.5,-0.003374266475518509
2023-09-29,0.11428571428571428,0.2,-0.018338823824371325,-0.0020050125313283303,0.5,0.48333333333333334,-0.005268507685918873
2023-10-31,-0.13383458646616542,0.4,-0.011976498468119018,0.019423558897243096,0.5,0.48333333333333334,-0.0010603110948047875
2023-11-30,-0.18496240601503755,0.2,-0.015315083741121449,0.02556390977443608,0.5,0.45,-0.0019684408925156644
2023-12-29,0.37293233082706767,1.0,0.009132337820426925,0.059774436090225556,0.5833333333333334,0.5,0.0008382163601838069
2024-01-31,0.5849624060150376,0.8,0.09475346920042634,0.12593984962406013,0.6666666666666666,0.55,0.012830459038121383
2024-02-29,-0.05714285714285714,0.4,0.003074292608161871,0.09974937343358396,0.5833333333333334,0.5333333333333333,0.009556768036243791
2024-03-28,0.021052631578947364,0.8,0.02150611090139248,0.09022556390977442,0.5833333333333334,0.55,0.01080331425795393
2024-04-30,0.33320799648613736,0.4,0.009428338868749248,0.09844402476983476,0.5833333333333334,0.5333333333333333,0.008911816921192499
2024-05-31,-0.015037593984962403,0.6,0.010688378672521107,0.08929615509564927,0.5,0.55,0.010326286008704715
2024-06-28,-0.14736842105263157,0.6,-0.013830239975738845,0.04781745835379465,0.4166666666666667,0.5333333333333333,0.005697319999711105
2024-07-31,-0.04962406015037594,0.6,-0.013732186157827042,0.05120091700041119,0.4166666666666667,0.5499999999999999,0.0051937797458766295
